"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
80;"SW56";"Kailh-PG1353-Hotswap-1U";1;"S";;;
81;"SW57";"Kailh-PG1353-Hotswap-1U";1;"D";;;
82;"SW58";"Kailh-PG1353-Hotswap-1U";1;"F";;;
83;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"8MHz";;;
84;"USB1";"HRO-TYPE-C-31-M-12-HandSoldering";1;"HRO-TYPE-C-31-M-12";;;
85;"U3";"SOT-23-5";1;"AP2112K-3.3";;;
86;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F072CBTx";;;
87;"U1";"SOT143B";1;"PRTR5V0U2X";;;
88;"SW100";"SKQG-1155865";1;"SW_Push_Dual";;;
89;"SW99";"Kailh-PG1353-Hotswap-1U";1;"RIGHT ARROW";;;
90;"SW98";"Kailh-PG1353-Hotswap-1U";1;"DOWN ARROW";;;
91;"SW97";"Kailh-PG1353-Hotswap-1U";1;"LEFT ARROW";;;
92;"SW96";"Kailh-PG1353-Hotswap-1U";1;"#DEL";;;
93;"SW86";"Kailh-PG1353-Hotswap-1U";1;"UP ARROW";;;
94;"SW85";"Kailh-PG1353-Hotswap-2U";1;"INSERT";;;
95;"SW71";"Kailh-PG1353-Hotswap-2U";1;"#ENTER";;;
96;"SW70";"Kailh-PG1353-Hotswap-1U";1;"#3";;;
97;"SW69";"Kailh-PG1353-Hotswap-1U";1;"#2";;;
98;"SW68";"Kailh-PG1353-Hotswap-1U";1;"#1";;;
99;"SW53";"Kailh-PG1353-Hotswap-2U";1;"ADD";;;
100;"SW52";"Kailh-PG1353-Hotswap-1U";1;"#6";;;
101;"SW51";"Kailh-PG1353-Hotswap-1U";1;"#5";;;
102;"SW50";"Kailh-PG1353-Hotswap-1U";1;"#4";;;
103;"SW35";"Kailh-PG1353-Hotswap-1U";1;"#9";;;
104;"SW34";"Kailh-PG1353-Hotswap-1U";1;"#8";;;
105;"SW33";"Kailh-PG1353-Hotswap-1U";1;"#7";;;
